Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
0.936453267,0.033399586,Budaka,UG2028,213400,103600,109800,188700,29100,220900,107400,113500,197400,30400,228700,111400,117300,206300,31800,236700,115500,121200,215500,33300,244800,119600,125200,319200,34700,265
0.901825092,0.025791133,Bududa,UG2029,217800,109800,108000,272800,122400,227800,114900,112900,283900,127300,238100,120200,117900,295300,132500,248800,125700,123100,307100,137800,259800,131400,128400,141300,143200,955
1.597581562,0.085603895,Bugiri,UG2030,395200,192200,203000,127300,41000,411200,200300,210900,130800,42100,427800,208700,219100,134200,43200,444900,217400,227500,137800,44400,462400,226300,236100,124500,45600,385
0.987886114,0.030798884,Bugweri,UG2031,168300,80500,87800,110100,13600,172900,82800,90100,113600,14000,177400,85100,92300,117100,14500,182200,87500,94700,120800,14900,186900,89900,97000,117900,15400,0
1.290288577,0.055823918,Buhweju,UG4101,123700,60600,63100,108800,320500,127600,62600,65000,111000,327300,131600,64600,67000,113300,334000,135700,66700,69000,115600,340700,139900,68800,71100,219000,347300,227
1.689525941,0.11806088,Buikwe,UG1001,429300,210700,218600,185200,25400,438300,215200,223100,193200,26500,447300,219800,227500,201500,27600,456300,224300,232000,210100,28800,465200,228800,236400,97800,30000,470
1.503210107,0.08533485,Bukedea,UG2032,210600,102300,108300,95400,56600,219700,107000,112700,96000,57000,229100,111800,117300,96700,57300,238900,116800,122100,97200,57700,249000,122000,127000,89200,58000,161
0.975527912,0.048731501,Bukomansimbi,UG1002,152000,75600,76400,73100,19900,153000,76200,76800,76800,21000,154000,76900,77100,80800,22000,154900,77500,77400,84900,23200,155800,78100,77700,198800,24300,253
1.097823573,0.045513301,Bukwo,UG2033,93000,47000,46000,163800,17600,97800,49500,48300,172100,18500,102800,52200,50600,180600,19400,108100,55000,53100,189600,20300,113500,57800,55700,95200,21300,523
1.978812247,0.056378242,Bulambuli,UG2034,181400,89600,91800,78600,39000,190600,94200,96400,82500,41000,200000,98900,101100,86600,43000,209900,103900,106000,90900,45100,220100,109000,111100,179700,47300,1315
